lookback,units,dropout,learning_rate,batch_size,val_mae
20,32,0.1,0.001,16,0.03332762399064207
20,32,0.1,0.001,32,0.03232497200684607
20,32,0.1,0.0001,16,0.033232967721587695
20,32,0.1,0.0001,32,0.0326989839274914
20,32,0.2,0.001,16,0.03267376990134381
20,32,0.2,0.001,32,0.03211210018795267
20,32,0.2,0.0001,16,0.03268759380145539
20,32,0.2,0.0001,32,0.03240874419584504
20,32,0.3,0.001,16,0.03260170770801078
20,32,0.3,0.001,32,0.032087171036708294
20,32,0.3,0.0001,16,0.03223497929851038
20,32,0.3,0.0001,32,0.03247444350449906
20,64,0.1,0.001,16,0.03369709946050733
20,64,0.1,0.001,32,0.033893395231545796
20,64,0.1,0.0001,16,0.03470322446778822
20,64,0.1,0.0001,32,0.033190893832778484
20,64,0.2,0.001,16,0.03290374052925071
20,64,0.2,0.001,32,0.03221051657909166
20,64,0.2,0.0001,16,0.0336486823781628
20,64,0.2,0.0001,32,0.03261023541165638
20,64,0.3,0.001,16,0.03249381604584244
20,64,0.3,0.001,32,0.03211600136218185
20,64,0.3,0.0001,16,0.0334533700894273
20,64,0.3,0.0001,32,0.03252818771873364
20,128,0.1,0.001,16,0.03565422163397527
20,128,0.1,0.001,32,0.034423723281401995
20,128,0.1,0.0001,16,0.03587939686173938
20,128,0.1,0.0001,32,0.033778111174185596
20,128,0.2,0.001,16,0.03359956284413951
20,128,0.2,0.001,32,0.03440794462598549
20,128,0.2,0.0001,16,0.03653681774249309
20,128,0.2,0.0001,32,0.0347682871522847
20,128,0.3,0.001,16,0.03337503553650672
20,128,0.3,0.001,32,0.03223128449287811
20,128,0.3,0.0001,16,0.034776728212524366
20,128,0.3,0.0001,32,0.034229677032552114
30,32,0.1,0.001,16,0.03213611152608469
30,32,0.1,0.001,32,0.032107676731510236
30,32,0.1,0.0001,16,0.03280671029016853
30,32,0.1,0.0001,32,0.03315597191617943
30,32,0.2,0.001,16,0.03211240854251899
30,32,0.2,0.001,32,0.032266951405284544
30,32,0.2,0.0001,16,0.032555721923592636
30,32,0.2,0.0001,32,0.03271496677686862
30,32,0.3,0.001,16,0.03208073625946268
30,32,0.3,0.001,32,0.032403004820063426
30,32,0.3,0.0001,16,0.03229407054527981
30,32,0.3,0.0001,32,0.032760157477713485
30,64,0.1,0.001,16,0.032249687888072705
30,64,0.1,0.001,32,0.0321347146750342
30,64,0.1,0.0001,16,0.0325500874027328
30,64,0.1,0.0001,32,0.03252721231038571
30,64,0.2,0.001,16,0.032135646195156645
30,64,0.2,0.001,32,0.032062465346017005
30,64,0.2,0.0001,16,0.03268925770537501
30,64,0.2,0.0001,32,0.032993528488934144
30,64,0.3,0.001,16,0.03208149656633602
30,64,0.3,0.001,32,0.032231503164325756
30,64,0.3,0.0001,16,0.03215240032742921
30,64,0.3,0.0001,32,0.03277603342269889
30,128,0.1,0.001,16,0.03240071491033758
30,128,0.1,0.001,32,0.032324353775040365
30,128,0.1,0.0001,16,0.03246407931635014
30,128,0.1,0.0001,32,0.03254468280335668
30,128,0.2,0.001,16,0.032226365161841665
30,128,0.2,0.001,32,0.032238513023262375
30,128,0.2,0.0001,16,0.0336962032177365
30,128,0.2,0.0001,32,0.03238975147066696
30,128,0.3,0.001,16,0.03211900981321534
30,128,0.3,0.001,32,0.03208042612202156
30,128,0.3,0.0001,16,0.03294294994953571
30,128,0.3,0.0001,32,0.03333628195235089
60,32,0.1,0.001,16,0.03219710080914286
60,32,0.1,0.001,32,0.03217900912020171
60,32,0.1,0.0001,16,0.03244104163544062
60,32,0.1,0.0001,32,0.0324144059179637
60,32,0.2,0.001,16,0.03217394735185186
60,32,0.2,0.001,32,0.03210278000239041
60,32,0.2,0.0001,16,0.03233097504430583
60,32,0.2,0.0001,32,0.03248162963626941
60,32,0.3,0.001,16,0.03218500816207644
60,32,0.3,0.001,32,0.03209605822030042
60,32,0.3,0.0001,16,0.03226873894427959
60,32,0.3,0.0001,32,0.033100316077631226
60,64,0.1,0.001,16,0.03242507461696225
60,64,0.1,0.001,32,0.03218632290248166
60,64,0.1,0.0001,16,0.03278600035033728
60,64,0.1,0.0001,32,0.03245919568602516
60,64,0.2,0.001,16,0.03218879137980077
60,64,0.2,0.001,32,0.03228390540373187
60,64,0.2,0.0001,16,0.03233254435350679
60,64,0.2,0.0001,32,0.03264800056066239
60,64,0.3,0.001,16,0.032206933173163144
60,64,0.3,0.001,32,0.03210049817367637
60,64,0.3,0.0001,16,0.03233389259371033
60,64,0.3,0.0001,32,0.03269250775464534
60,128,0.1,0.001,16,0.032691016080819826
60,128,0.1,0.001,32,0.03272240695231376
60,128,0.1,0.0001,16,0.03283960612027334
60,128,0.1,0.0001,32,0.03265164905557427
60,128,0.2,0.001,16,0.03231060989994274
60,128,0.2,0.001,32,0.032229241094359345
60,128,0.2,0.0001,16,0.032512859580776626
60,128,0.2,0.0001,32,0.032828725712432165
60,128,0.3,0.001,16,0.03218719157888013
60,128,0.3,0.001,32,0.03233310977369834
60,128,0.3,0.0001,16,0.03251806728261681
60,128,0.3,0.0001,32,0.03249324797287809
